[2026-06-12 16:25:00] 데이터 수신 결과 -> 온도: 2°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 16:25:00] 시스템이 성공적으로 시작되었습니다.
[2026-06-12 16:25:05] 데이터 수신 결과 -> 온도: 27°C | 습도: 56% | 선풍기: ON | 히터: OFF
[2026-06-12 16:25:10] 데이터 수신 결과 -> 온도: 6°C | 습도: 57% | 선풍기: OFF | 히터: ON
[2026-06-12 16:25:15] 데이터 수신 결과 -> 온도: 19°C | 습도: 73% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:25:20] 데이터 수신 결과 -> 온도: 7°C | 습도: 32% | 선풍기: OFF | 히터: ON
[2026-06-12 16:25:25] 데이터 수신 결과 -> 온도: 35°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 16:25:30] 데이터 수신 결과 -> 온도: 24°C | 습도: 50% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:25:32] 데이터 수신 결과 -> 온도: 31°C | 습도: 38% | 선풍기: ON | 히터: OFF
[2026-06-12 16:25:35] 데이터 수신 결과 -> 온도: 5°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 16:25:40] 데이터 수신 결과 -> 온도: 24°C | 습도: 41% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:25:45] 데이터 수신 결과 -> 온도: 25°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:25:50] 데이터 수신 결과 -> 온도: 4°C | 습도: 80% | 선풍기: OFF | 히터: ON
[2026-06-12 16:25:55] 데이터 수신 결과 -> 온도: 27°C | 습도: 60% | 선풍기: ON | 히터: OFF
[2026-06-12 16:26:00] 데이터 수신 결과 -> 온도: 19°C | 습도: 38% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:26:05] 데이터 수신 결과 -> 온도: 6°C | 습도: 62% | 선풍기: OFF | 히터: ON
[2026-06-12 16:26:10] 데이터 수신 결과 -> 온도: 25°C | 습도: 40% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:26:15] 데이터 수신 결과 -> 온도: 8°C | 습도: 42% | 선풍기: OFF | 히터: ON
[2026-06-12 16:26:20] 데이터 수신 결과 -> 온도: 20°C | 습도: 50% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:26:25] 데이터 수신 결과 -> 온도: 3°C | 습도: 55% | 선풍기: OFF | 히터: ON
[2026-06-12 16:26:30] 데이터 수신 결과 -> 온도: 32°C | 습도: 50% | 선풍기: ON | 히터: OFF
[2026-06-12 16:26:35] 데이터 수신 결과 -> 온도: 25°C | 습도: 47% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:26:40] 데이터 수신 결과 -> 온도: 6°C | 습도: 54% | 선풍기: OFF | 히터: ON
[2026-06-12 16:26:45] 데이터 수신 결과 -> 온도: 35°C | 습도: 59% | 선풍기: ON | 히터: OFF
[2026-06-12 16:26:50] 데이터 수신 결과 -> 온도: 10°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 16:26:55] 데이터 수신 결과 -> 온도: 4°C | 습도: 48% | 선풍기: OFF | 히터: ON
[2026-06-12 16:27:00] 데이터 수신 결과 -> 온도: 9°C | 습도: 76% | 선풍기: OFF | 히터: ON
[2026-06-12 16:27:05] 데이터 수신 결과 -> 온도: 11°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:10] 데이터 수신 결과 -> 온도: 25°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:15] 데이터 수신 결과 -> 온도: 25°C | 습도: 80% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:20] 데이터 수신 결과 -> 온도: 8°C | 습도: 55% | 선풍기: OFF | 히터: ON
[2026-06-12 16:27:25] 데이터 수신 결과 -> 온도: 12°C | 습도: 43% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:30] 데이터 수신 결과 -> 온도: 17°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:35] 데이터 수신 결과 -> 온도: 6°C | 습도: 46% | 선풍기: OFF | 히터: ON
[2026-06-12 16:27:40] 데이터 수신 결과 -> 온도: 18°C | 습도: 44% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:45] 데이터 수신 결과 -> 온도: 18°C | 습도: 70% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:27:50] 데이터 수신 결과 -> 온도: 5°C | 습도: 31% | 선풍기: OFF | 히터: ON
[2026-06-12 16:27:55] 데이터 수신 결과 -> 온도: 26°C | 습도: 76% | 선풍기: ON | 히터: OFF
[2026-06-12 16:28:00] 데이터 수신 결과 -> 온도: 20°C | 습도: 72% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:28:05] 데이터 수신 결과 -> 온도: 34°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 16:28:10] 데이터 수신 결과 -> 온도: 21°C | 습도: 44% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:28:15] 데이터 수신 결과 -> 온도: 8°C | 습도: 53% | 선풍기: OFF | 히터: ON
[2026-06-12 16:28:20] 데이터 수신 결과 -> 온도: 3°C | 습도: 46% | 선풍기: OFF | 히터: ON
[2026-06-12 16:28:25] 데이터 수신 결과 -> 온도: 30°C | 습도: 77% | 선풍기: ON | 히터: OFF
[2026-06-12 16:28:30] 데이터 수신 결과 -> 온도: 31°C | 습도: 38% | 선풍기: ON | 히터: OFF
[2026-06-12 16:28:35] 데이터 수신 결과 -> 온도: 35°C | 습도: 48% | 선풍기: ON | 히터: OFF
