[2026-06-18 14:25:05] DATA_REC_STREAM -> 온도: 15 °C, 습도: 65 %
[2026-06-18 14:25:15] DATA_REC_STREAM -> 온도: 21 °C, 습도: 40 %
[2026-06-18 14:25:25] DATA_REC_STREAM -> 온도: 19 °C, 습도: 61 %
[2026-06-18 14:25:35] DATA_REC_STREAM -> 온도: 24 °C, 습도: 58 %
[2026-06-18 14:25:45] DATA_REC_STREAM -> 온도: 18 °C, 습도: 47 %
[2026-06-18 14:25:55] DATA_REC_STREAM -> 온도: 26 °C, 습도: 41 %
[2026-06-18 14:26:05] DATA_REC_STREAM -> 온도: 17 °C, 습도: 63 %
[2026-06-18 14:26:15] DATA_REC_STREAM -> 온도: 17 °C, 습도: 63 %
[2026-06-18 15:36:17] DATA_REC_STREAM -> 온도: 20 °C, 습도: 47 %
[2026-06-18 16:15:55] DATA_REC_STREAM -> 온도: 21 °C, 습도: 60 %
[2026-06-18 16:16:05] DATA_REC_STREAM -> 온도: 24 °C, 습도: 41 %
[2026-06-18 16:16:15] DATA_REC_STREAM -> 온도: 24 °C, 습도: 49 %
[2026-06-18 16:16:25] DATA_REC_STREAM -> 온도: 19 °C, 습도: 54 %
[2026-06-18 16:16:44] DATA_REC_STREAM -> 온도: 22 °C, 습도: 52 %
[2026-06-18 16:25:27] DATA_REC_STREAM -> 온도: 23 °C, 습도: 46 %
[2026-06-18 16:25:37] DATA_REC_STREAM -> 온도: 20 °C, 습도: 52 %
[2026-06-18 16:25:47] DATA_REC_STREAM -> 온도: 18 °C, 습도: 55 %
[2026-06-18 16:31:51] DATA_REC_STREAM -> 온도: 26 °C, 습도: 45 %
[2026-06-18 16:32:01] DATA_REC_STREAM -> 온도: 16 °C, 습도: 46 %
[2026-06-18 16:32:11] DATA_REC_STREAM -> 온도: 17 °C, 습도: 44 %
[2026-06-18 16:32:21] DATA_REC_STREAM -> 온도: 22 °C, 습도: 59 %
[2026-06-18 16:32:31] DATA_REC_STREAM -> 온도: 20 °C, 습도: 41 %
[2026-06-18 16:32:41] DATA_REC_STREAM -> 온도: 21 °C, 습도: 47 %
[2026-06-18 16:32:51] DATA_REC_STREAM -> 온도: 23 °C, 습도: 40 %
[2026-06-18 16:33:01] DATA_REC_STREAM -> 온도: 22 °C, 습도: 56 %
[2026-06-18 16:33:11] DATA_REC_STREAM -> 온도: 15 °C, 습도: 49 %
[2026-06-18 16:33:21] DATA_REC_STREAM -> 온도: 23 °C, 습도: 43 %
[2026-06-18 16:33:31] DATA_REC_STREAM -> 온도: 20 °C, 습도: 63 %
[2026-06-18 16:36:43] DATA_REC_STREAM -> 온도: 26 °C, 습도: 59 %
[2026-06-18 16:36:53] DATA_REC_STREAM -> 온도: 24 °C, 습도: 55 %
[2026-06-18 16:37:03] DATA_REC_STREAM -> 온도: 20 °C, 습도: 55 %
[2026-06-18 16:37:13] DATA_REC_STREAM -> 온도: 16 °C, 습도: 49 %
[2026-06-18 16:37:23] DATA_REC_STREAM -> 온도: 20 °C, 습도: 50 %
[2026-06-18 16:37:33] DATA_REC_STREAM -> 온도: 19 °C, 습도: 65 %
[2026-06-18 16:37:43] DATA_REC_STREAM -> 온도: 22 °C, 습도: 42 %
[2026-06-18 16:37:53] DATA_REC_STREAM -> 온도: 15 °C, 습도: 41 %
[2026-06-18 16:38:03] DATA_REC_STREAM -> 온도: 16 °C, 습도: 50 %
[2026-06-18 16:38:13] DATA_REC_STREAM -> 온도: 17 °C, 습도: 60 %
[2026-06-18 16:38:23] DATA_REC_STREAM -> 온도: 15 °C, 습도: 42 %
[2026-06-18 16:38:33] DATA_REC_STREAM -> 온도: 19 °C, 습도: 44 %
[2026-06-18 16:38:43] DATA_REC_STREAM -> 온도: 26 °C, 습도: 65 %
[2026-06-18 16:38:53] DATA_REC_STREAM -> 온도: 23 °C, 습도: 45 %
[2026-06-18 16:39:03] DATA_REC_STREAM -> 온도: 16 °C, 습도: 62 %
[2026-06-18 16:39:13] DATA_REC_STREAM -> 온도: 20 °C, 습도: 59 %
[2026-06-18 16:39:23] DATA_REC_STREAM -> 온도: 28 °C, 습도: 57 %
[2026-06-18 16:39:33] DATA_REC_STREAM -> 온도: 23 °C, 습도: 59 %
