[2026-06-12 15:32:28] 온도: 12°C | 습도: 74% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:31] 온도: 17°C | 습도: 52% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:32] 온도: 5°C | 습도: 52% | 선풍기: OFF | 히터: ON
[2026-06-12 15:32:32] 온도: 1°C | 습도: 74% | 선풍기: OFF | 히터: ON
[2026-06-12 15:32:33] 온도: 18°C | 습도: 45% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:35] 온도: 30°C | 습도: 47% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:36] 온도: 11°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:36] 온도: 3°C | 습도: 33% | 선풍기: OFF | 히터: ON
[2026-06-12 15:32:37] 온도: 5°C | 습도: 62% | 선풍기: OFF | 히터: ON
[2026-06-12 15:32:37] 온도: 27°C | 습도: 79% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:37] 온도: 31°C | 습도: 70% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:38] 온도: 11°C | 습도: 37% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:38] 온도: 26°C | 습도: 31% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:38] 온도: 25°C | 습도: 48% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:43] 온도: 20°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:47] 온도: 34°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:52] 온도: 14°C | 습도: 60% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:57] 온도: 16°C | 습도: 37% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:32:58] 온도: 26°C | 습도: 44% | 선풍기: ON | 히터: OFF
[2026-06-12 15:32:59] 온도: 10°C | 습도: 64% | 선풍기: OFF | 히터: ON
[2026-06-12 15:33:00] 온도: 23°C | 습도: 31% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:33:13] 온도: 10°C | 습도: 52% | 선풍기: OFF | 히터: ON
[2026-06-12 15:33:18] 온도: 21°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:33:20] 온도: 1°C | 습도: 52% | 선풍기: OFF | 히터: ON
[2026-06-12 15:33:23] 온도: 33°C | 습도: 59% | 선풍기: ON | 히터: OFF
[2026-06-12 15:33:26] 온도: 3°C | 습도: 34% | 선풍기: OFF | 히터: ON
[2026-06-12 15:33:28] 온도: 8°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 15:33:33] 온도: 29°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 15:33:38] 온도: 24°C | 습도: 72% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:33:43] 온도: 32°C | 습도: 60% | 선풍기: ON | 히터: OFF
[2026-06-12 15:33:48] 온도: 29°C | 습도: 72% | 선풍기: ON | 히터: OFF
[2026-06-12 15:33:53] 온도: 14°C | 습도: 41% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:33:58] 온도: 14°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:03] 온도: 17°C | 습도: 35% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:08] 온도: 24°C | 습도: 33% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:13] 온도: 20°C | 습도: 44% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:18] 온도: 22°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:23] 온도: 32°C | 습도: 35% | 선풍기: ON | 히터: OFF
[2026-06-12 15:34:28] 온도: 29°C | 습도: 52% | 선풍기: ON | 히터: OFF
[2026-06-12 15:34:33] 온도: 28°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 15:34:38] 온도: 17°C | 습도: 78% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:43] 온도: 31°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 15:34:48] 온도: 7°C | 습도: 75% | 선풍기: OFF | 히터: ON
[2026-06-12 15:34:53] 온도: 14°C | 습도: 44% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:34:58] 온도: 33°C | 습도: 45% | 선풍기: ON | 히터: OFF
[2026-06-12 15:35:03] 온도: 2°C | 습도: 52% | 선풍기: OFF | 히터: ON
[2026-06-12 15:35:08] 온도: 22°C | 습도: 79% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:13] 온도: 26°C | 습도: 57% | 선풍기: ON | 히터: OFF
[2026-06-12 15:35:18] 온도: 13°C | 습도: 79% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:23] 온도: 14°C | 습도: 34% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:28] 온도: 13°C | 습도: 49% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:33] 온도: 30°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 15:35:38] 온도: 7°C | 습도: 54% | 선풍기: OFF | 히터: ON
[2026-06-12 15:35:43] 온도: 11°C | 습도: 54% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:48] 온도: 20°C | 습도: 73% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:35:53] 온도: 5°C | 습도: 68% | 선풍기: OFF | 히터: ON
[2026-06-12 15:35:58] 온도: 1°C | 습도: 51% | 선풍기: OFF | 히터: ON
[2026-06-12 15:36:03] 온도: 31°C | 습도: 31% | 선풍기: ON | 히터: OFF
[2026-06-12 15:36:08] 온도: 10°C | 습도: 61% | 선풍기: OFF | 히터: ON
[2026-06-12 15:36:13] 온도: 8°C | 습도: 79% | 선풍기: OFF | 히터: ON
[2026-06-12 15:36:18] 온도: 27°C | 습도: 64% | 선풍기: ON | 히터: OFF
[2026-06-12 15:36:23] 온도: 25°C | 습도: 50% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:36:28] 온도: 6°C | 습도: 72% | 선풍기: OFF | 히터: ON
[2026-06-12 15:36:33] 온도: 17°C | 습도: 61% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:36:38] 온도: 35°C | 습도: 31% | 선풍기: ON | 히터: OFF
[2026-06-12 15:36:43] 온도: 12°C | 습도: 31% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:36:48] 온도: 12°C | 습도: 46% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:36:53] 온도: 19°C | 습도: 37% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:36:58] 온도: 34°C | 습도: 34% | 선풍기: ON | 히터: OFF
[2026-06-12 15:37:03] 온도: 2°C | 습도: 72% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:08] 온도: 30°C | 습도: 42% | 선풍기: ON | 히터: OFF
[2026-06-12 15:37:13] 온도: 3°C | 습도: 50% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:18] 온도: 2°C | 습도: 59% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:23] 온도: 0°C | 습도: 36% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:28] 온도: 9°C | 습도: 38% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:33] 온도: 34°C | 습도: 58% | 선풍기: ON | 히터: OFF
[2026-06-12 15:37:38] 온도: 6°C | 습도: 78% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:43] 온도: 9°C | 습도: 46% | 선풍기: OFF | 히터: ON
[2026-06-12 15:37:48] 온도: 24°C | 습도: 52% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:37:53] 온도: 21°C | 습도: 56% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:37:58] 온도: 2°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 15:38:03] 온도: 2°C | 습도: 37% | 선풍기: OFF | 히터: ON
[2026-06-12 15:38:08] 온도: 16°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:38:13] 온도: 7°C | 습도: 44% | 선풍기: OFF | 히터: ON
[2026-06-12 15:38:18] 온도: 26°C | 습도: 54% | 선풍기: ON | 히터: OFF
[2026-06-12 15:38:23] 온도: 13°C | 습도: 51% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:38:28] 온도: 14°C | 습도: 55% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:38:33] 온도: 17°C | 습도: 52% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:38:38] 온도: 31°C | 습도: 72% | 선풍기: ON | 히터: OFF
[2026-06-12 15:38:43] 온도: 20°C | 습도: 43% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:38:48] 온도: 34°C | 습도: 44% | 선풍기: ON | 히터: OFF
[2026-06-12 15:38:53] 온도: 35°C | 습도: 39% | 선풍기: ON | 히터: OFF
[2026-06-12 15:38:58] 온도: 8°C | 습도: 68% | 선풍기: OFF | 히터: ON
[2026-06-12 15:39:03] 온도: 7°C | 습도: 34% | 선풍기: OFF | 히터: ON
[2026-06-12 15:39:08] 온도: 27°C | 습도: 79% | 선풍기: ON | 히터: OFF
[2026-06-12 15:39:13] 온도: 4°C | 습도: 71% | 선풍기: OFF | 히터: ON
[2026-06-12 15:39:18] 온도: 29°C | 습도: 75% | 선풍기: ON | 히터: OFF
[2026-06-12 15:39:23] 온도: 21°C | 습도: 66% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:39:28] 온도: 33°C | 습도: 61% | 선풍기: ON | 히터: OFF
[2026-06-12 15:39:33] 온도: 6°C | 습도: 46% | 선풍기: OFF | 히터: ON
[2026-06-12 15:39:38] 온도: 20°C | 습도: 35% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:39:43] 온도: 29°C | 습도: 38% | 선풍기: ON | 히터: OFF
[2026-06-12 15:39:48] 온도: 31°C | 습도: 75% | 선풍기: ON | 히터: OFF
[2026-06-12 15:39:53] 온도: 24°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:39:58] 온도: 25°C | 습도: 45% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:03] 온도: 14°C | 습도: 38% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:08] 온도: 18°C | 습도: 49% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:13] 온도: 27°C | 습도: 62% | 선풍기: ON | 히터: OFF
[2026-06-12 15:40:18] 온도: 18°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:23] 온도: 1°C | 습도: 58% | 선풍기: OFF | 히터: ON
[2026-06-12 15:40:28] 온도: 9°C | 습도: 48% | 선풍기: OFF | 히터: ON
[2026-06-12 15:40:33] 온도: 0°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 15:40:38] 온도: 23°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:43] 온도: 12°C | 습도: 48% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:48] 온도: 24°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:53] 온도: 18°C | 습도: 67% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:40:58] 온도: 10°C | 습도: 35% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:03] 온도: 10°C | 습도: 77% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:08] 온도: 34°C | 습도: 46% | 선풍기: ON | 히터: OFF
[2026-06-12 15:41:13] 온도: 9°C | 습도: 64% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:18] 온도: 20°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:41:23] 온도: 21°C | 습도: 56% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:41:28] 온도: 0°C | 습도: 55% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:33] 온도: 6°C | 습도: 76% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:38] 온도: 24°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:41:43] 온도: 35°C | 습도: 50% | 선풍기: ON | 히터: OFF
[2026-06-12 15:41:48] 온도: 3°C | 습도: 40% | 선풍기: OFF | 히터: ON
[2026-06-12 15:41:53] 온도: 32°C | 습도: 40% | 선풍기: ON | 히터: OFF
[2026-06-12 15:41:58] 온도: 32°C | 습도: 40% | 선풍기: ON | 히터: OFF
[2026-06-12 15:42:03] 온도: 14°C | 습도: 58% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:08] 온도: 19°C | 습도: 56% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:13] 온도: 3°C | 습도: 78% | 선풍기: OFF | 히터: ON
[2026-06-12 15:42:18] 온도: 0°C | 습도: 73% | 선풍기: OFF | 히터: ON
[2026-06-12 15:42:23] 온도: 28°C | 습도: 72% | 선풍기: ON | 히터: OFF
[2026-06-12 15:42:28] 온도: 17°C | 습도: 67% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:33] 온도: 10°C | 습도: 80% | 선풍기: OFF | 히터: ON
[2026-06-12 15:42:38] 온도: 24°C | 습도: 30% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:43] 온도: 20°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:48] 온도: 25°C | 습도: 37% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:53] 온도: 11°C | 습도: 75% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:42:58] 온도: 0°C | 습도: 50% | 선풍기: OFF | 히터: ON
[2026-06-12 15:43:03] 온도: 33°C | 습도: 55% | 선풍기: ON | 히터: OFF
[2026-06-12 15:43:08] 온도: 29°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 15:43:13] 온도: 23°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:18] 온도: 14°C | 습도: 58% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:23] 온도: 34°C | 습도: 78% | 선풍기: ON | 히터: OFF
[2026-06-12 15:43:28] 온도: 18°C | 습도: 35% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:33] 온도: 9°C | 습도: 37% | 선풍기: OFF | 히터: ON
[2026-06-12 15:43:38] 온도: 16°C | 습도: 38% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:43] 온도: 19°C | 습도: 49% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:48] 온도: 22°C | 습도: 68% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:53] 온도: 11°C | 습도: 55% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:43:58] 온도: 28°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 15:44:03] 온도: 4°C | 습도: 38% | 선풍기: OFF | 히터: ON
[2026-06-12 15:44:08] 온도: 6°C | 습도: 30% | 선풍기: OFF | 히터: ON
[2026-06-12 15:44:13] 온도: 9°C | 습도: 75% | 선풍기: OFF | 히터: ON
[2026-06-12 15:44:18] 온도: 8°C | 습도: 41% | 선풍기: OFF | 히터: ON
[2026-06-12 15:44:23] 온도: 25°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:44:28] 온도: 20°C | 습도: 34% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:45:36] 온도: 14°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:45:41] 온도: 24°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:45:45] 온도: 9°C | 습도: 79% | 선풍기: OFF | 히터: ON
[2026-06-12 15:45:46] 온도: 6°C | 습도: 44% | 선풍기: OFF | 히터: ON
[2026-06-12 15:45:47] 온도: 17°C | 습도: 55% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:45:51] 온도: 29°C | 습도: 41% | 선풍기: ON | 히터: OFF
[2026-06-12 15:45:56] 온도: 26°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 15:46:01] 온도: 6°C | 습도: 37% | 선풍기: OFF | 히터: ON
[2026-06-12 15:46:06] 온도: 32°C | 습도: 55% | 선풍기: ON | 히터: OFF
